domain,method,backbone,family,family_label,auroc
midog,ReAct,resnet50,resnet_like,ResNet-like (R18/R50),0.5305696900638719
midog,ViM,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.7098424330465329
midog,ViM,densenet121,dense_connection,dense-connection (DenseNet121),0.5536140763951987
midog,ViM,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.5809834197604702
midog,ViM,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.5103159034482199
midog,ViM,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.5931327215705123
midog,ViM,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.6550585188895384
midog,ViM,resnet18,resnet_like,ResNet-like (R18/R50),0.6091054285062393
midog,ViM,resnet50,resnet_like,ResNet-like (R18/R50),0.6611378950480694
skin_isic_pad,Energy,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.6734218085562125
skin_isic_pad,Energy,densenet121,dense_connection,dense-connection (DenseNet121),0.696329766365887
skin_isic_pad,Energy,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.6972790035940241
skin_isic_pad,Energy,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.7437600616891462
skin_isic_pad,Energy,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.7019823500498292
skin_isic_pad,Energy,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.6953399441731265
skin_isic_pad,Energy,resnet18,resnet_like,ResNet-like (R18/R50),0.7673714922189603
skin_isic_pad,Energy,resnet50,resnet_like,ResNet-like (R18/R50),0.6934775452409621
skin_isic_pad,kNN,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.9150308671203164
skin_isic_pad,kNN,densenet121,dense_connection,dense-connection (DenseNet121),0.8965466704545967
skin_isic_pad,kNN,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.896019065914492
skin_isic_pad,kNN,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.8492539130670057
skin_isic_pad,kNN,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.9065643925558156
skin_isic_pad,kNN,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.9551400857695586
skin_isic_pad,kNN,resnet18,resnet_like,ResNet-like (R18/R50),0.8618623087433542
skin_isic_pad,kNN,resnet50,resnet_like,ResNet-like (R18/R50),0.9004112609748509
skin_isic_pad,ELogitNorm,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.7392032720500368
skin_isic_pad,ELogitNorm,densenet121,dense_connection,dense-connection (DenseNet121),0.6811036404713268
skin_isic_pad,ELogitNorm,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.7022980108857895
skin_isic_pad,ELogitNorm,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.7364976077418075
skin_isic_pad,ELogitNorm,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.7105547964664023
skin_isic_pad,ELogitNorm,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.7218870204773693
skin_isic_pad,ELogitNorm,resnet18,resnet_like,ResNet-like (R18/R50),0.7439178921071262
skin_isic_pad,ELogitNorm,resnet50,resnet_like,ResNet-like (R18/R50),0.696755908494433
skin_isic_pad,Mahalanobis,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.948127905770731
skin_isic_pad,Mahalanobis,densenet121,dense_connection,dense-connection (DenseNet121),0.9720482329757346
skin_isic_pad,Mahalanobis,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.9510207118602796
skin_isic_pad,Mahalanobis,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.8899764156261132
skin_isic_pad,Mahalanobis,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.9262210437551012
skin_isic_pad,Mahalanobis,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.9685218504940092
skin_isic_pad,Mahalanobis,resnet18,resnet_like,ResNet-like (R18/R50),0.934750650486794
skin_isic_pad,Mahalanobis,resnet50,resnet_like,ResNet-like (R18/R50),0.9665692627515704
skin_isic_pad,MSP,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.7548397570313451
skin_isic_pad,MSP,densenet121,dense_connection,dense-connection (DenseNet121),0.6801814598862719
skin_isic_pad,MSP,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.70330925292099
skin_isic_pad,MSP,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.7367287165681354
skin_isic_pad,MSP,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.714444188909482
skin_isic_pad,MSP,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.7202692586930739
skin_isic_pad,MSP,resnet18,resnet_like,ResNet-like (R18/R50),0.7358076633432089
skin_isic_pad,MSP,resnet50,resnet_like,ResNet-like (R18/R50),0.6975676077869019
skin_isic_pad,ReAct,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.5472837385065635
skin_isic_pad,ReAct,densenet121,dense_connection,dense-connection (DenseNet121),0.6881947356791442
skin_isic_pad,ReAct,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.7159751439638884
skin_isic_pad,ReAct,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.7389665264230667
