domain,backbone,draw,n_sub,auroc,cond_prec,shrinkage
camelyon17,effb3,3,1896,0.8838256397050764,9.283769193621621e+26,0.00034982859070780255
camelyon17,effb3,4,1896,0.8743602647948286,2.425823953379556e+27,0.00033189837080297243
camelyon17,effb3,5,1896,0.8718272053093494,2.7545847733023033e+26,0.0003546565547177426
camelyon17,effb3,6,1896,0.8720637804580043,1.1337706689894236e+27,0.0003562900158858872
camelyon17,effb3,7,1896,0.8761187811120092,6.1694412694850884e+26,0.0003544979222158127
camelyon17,effb3,8,1896,0.8746302300048994,2.309067671636146e+26,0.00034572531476604766
camelyon17,effb3,9,1896,0.8623063438447139,4.067879729552309e+26,0.00033300399042392653
camelyon17,effb3,10,1896,0.8668166305228568,4.042228594378618e+26,0.0003414316811737263
camelyon17,effb3,11,1896,0.8733926088405507,3.69386395093829e+26,0.0003427201754417599
camelyon17,effb3,12,1896,0.8810640387738808,3.555720905908472e+26,0.00036391563890438434
camelyon17,effb3,13,1896,0.8682383274113201,8.827661821957843e+26,0.00034260389223388093
camelyon17,effb3,14,1896,0.8694385752073429,2.5432639474041852e+26,0.0003362165311447736
camelyon17,effb3,15,1896,0.8780795056077815,1.1799105988695162e+26,0.0003344561245337402
camelyon17,effb3,16,1896,0.8598897948601845,2.88253792784284e+26,0.0003474730003839934
camelyon17,effb3,17,1896,0.8570298332240895,4.109739779241075e+26,0.0003463756175799682
camelyon17,effb3,18,1896,0.8799704849219676,4.8910952970957084e+26,0.00034775544337431273
camelyon17,effb3,19,1896,0.8763381320492096,4.557674066713365e+26,0.00035204580018594116
