domain,backbone,family,method,auroc,rank
skin_isic_pad,regnet_y_3_2gf,nas_designed,ELogitNorm,0.7218870204773693,3.0
skin_isic_pad,regnet_y_3_2gf,nas_designed,ViM,0.7175782500665142,5.0
skin_isic_pad,regnet_y_3_2gf,nas_designed,ReAct,0.7073305464990958,6.0
skin_isic_pad,regnet_y_3_2gf,nas_designed,Mahalanobis,0.9685218504940092,1.0
skin_isic_pad,regnet_y_3_2gf,nas_designed,kNN,0.9551400857695586,2.0
skin_isic_pad,resnet18,resnet_like,MSP,0.7358076633432089,7.0
skin_isic_pad,resnet18,resnet_like,Energy,0.7673714922189603,5.0
skin_isic_pad,resnet18,resnet_like,ELogitNorm,0.7439178921071262,6.0
skin_isic_pad,resnet18,resnet_like,ViM,0.7844509981646576,3.0
skin_isic_pad,resnet18,resnet_like,ReAct,0.7795357080047078,4.0
skin_isic_pad,resnet18,resnet_like,Mahalanobis,0.934750650486794,1.0
skin_isic_pad,resnet18,resnet_like,kNN,0.8618623087433542,2.0
skin_isic_pad,resnet50,resnet_like,MSP,0.6975676077869019,4.0
skin_isic_pad,resnet50,resnet_like,Energy,0.6934775452409621,7.0
skin_isic_pad,resnet50,resnet_like,ELogitNorm,0.696755908494433,5.0
skin_isic_pad,resnet50,resnet_like,ViM,0.8388258318790389,3.0
skin_isic_pad,resnet50,resnet_like,ReAct,0.6964086815748771,6.0
skin_isic_pad,resnet50,resnet_like,Mahalanobis,0.9665692627515704,1.0
skin_isic_pad,resnet50,resnet_like,kNN,0.9004112609748509,2.0
