backbone,corruption_type,severity_level,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,logit_gap_trim1,logit_gap_ci_lo,logit_gap_ci_hi,mahalanobis_auroc,msp_auroc,seconds
resnet50,defocus_blur,5,0.09334760500000006,0.08921218862499994,0.09733540837499997,-4.33411077490217,-4.4118889762819045,-4.251457196329915,0.95200351,0.858655905,45.83460998535156
resnet50,glass_blur,1,0.05630629500000006,0.05243663124999998,0.06021433837500009,-4.533560763181902,-4.6082629770639425,-4.457295627245243,0.92618774,0.869881445,46.18225073814392
resnet50,glass_blur,2,0.05833530500000006,0.05458043812500002,0.0621832138749999,-4.517461895799931,-4.591807886164525,-4.444299323159305,0.9251526200000001,0.866817315,46.43996071815491
resnet50,glass_blur,3,0.061031989999999814,0.05700031437500008,0.06496033062499994,-4.277725956147597,-4.352406971463288,-4.204626960678656,0.9139409499999999,0.85290896,46.413105964660645
resnet50,glass_blur,4,0.04602050000000013,0.04284357174999985,0.049079648124999896,-5.470572986826391,-5.541850935839877,-5.403382665508893,0.9606163900000001,0.91459589,45.9926872253418
resnet50,glass_blur,5,0.045129024999999934,0.04178595474999988,0.048195353625000076,-5.281988673240809,-5.355601917307771,-5.214093226131165,0.9531828849999999,0.90805386,46.223954916000366
resnet50,motion_blur,1,0.024159239999999915,0.017844881124999934,0.0304327646250001,-0.767670892719984,-0.8415198591211903,-0.6918993021039067,0.614356685,0.590197445,44.118042945861816
resnet50,motion_blur,2,0.053125730000000204,0.047690965000000106,0.058639538250000074,-1.793531686518099,-1.8703139183421085,-1.7128826017501664,0.7415634600000002,0.68843773,44.153815269470215
resnet50,motion_blur,3,0.0650591749999998,0.06045369800000018,0.06987935775000016,-2.922297182868803,-3.003072171086342,-2.846820955286047,0.8426352849999998,0.77757611,45.443010568618774
resnet50,motion_blur,4,0.06724924499999985,0.06243022537500003,0.072156088,-2.908742652148236,-2.983414088467141,-2.831482652225492,0.8437267849999999,0.77647754,45.482475996017456
resnet50,motion_blur,5,0.07066381,0.06671712887499988,0.07471536200000006,-3.893251404828316,-3.9700158128151566,-3.813431969534579,0.9106993849999999,0.8400355749999999,45.78429913520813
resnet50,zoom_blur,1,0.051682945000000036,0.045664493625000004,0.05756622025000002,-1.1591876773653418,-1.234882143579413,-1.0842168413042401,0.677470765,0.62578782,43.74423909187317
resnet50,zoom_blur,2,0.0706971850000001,0.06501260474999992,0.07653796274999995,-1.4313697555648304,-1.503449379625924,-1.3562301343680532,0.7216782150000001,0.65098103,45.483078956604004
resnet50,zoom_blur,3,0.08855721999999999,0.08324065300000005,0.09371717637500002,-2.0284960390900313,-2.10327601149768,-1.9544321459893563,0.789513685,0.700956465,45.403461933135986
resnet50,zoom_blur,4,0.09951592000000009,0.09453222712500002,0.10475107725000005,-2.5517437325797943,-2.6262053336876923,-2.477999615334724,0.8411831350000001,0.741667215,44.04895305633545
